song_id,artists,name,release_date,year,popularity
4m3GHOgCNZMv0we7H9j8Y8,Tame Impala,Expectation,21/05/2010,2010,48
0ZxZsjMMyLgjRV1XLWlIaS,Bring Me The Horizon,It Never Ends,05/10/2010,2010,50
0Jc2SfIHv63JNsUZpunh54,Daft Punk,Solar Sailer,01/01/2010,2010,48
5QZunYrvUrJs3Mzrjl7fKV,TobyMac,City On Our Knees,05/02/2010,2010,48
0X0zDB7RqpWOIwCHGr2Whu,Kenny Chesney,Reality,28/09/2010,2010,47
44Ct3hm0XrOVa32oE7yTj7,MercyMe,Beautiful,04/05/2010,2010,47
1029DpUbgEVAhc79ZgE7aa,Grupo Laberinto,El Tapete Y La Rubí,29/04/2010,2010,50
1qsoQzhJM3eHiF6EFjajZL,Spose,I'm Awesome,01/01/2010,2010,47
6bdCSQbpTMcXv1CYGGa8Ea,Tierra Cali,En Cambio Tú,01/01/2010,2010,48
6tO1amT2NLvgsBzBhHOR1S,Escape the Fate,Ashley,27/04/2010,2010,52
1YtHpYEbbfQQIyxXkdxEoW,"Thomas Bergersen', 'Two Steps from Hell",Protectors of the Earth,03/05/2010,2010,59
4i95IcFlxQLIVDlChgAHGU,Blake Shelton,Kiss My Country Ass,08/11/2010,2010,47
28AUzRo0nQLESL55WDV0um,"Usher', 'Pitbull",DJ Got Us Fallin' In Love (feat. Pitbull),24/08/2010,2010,51
6TghWaPh1WHJKWXow7iujH,10 Years,Shoot It Out,01/01/2010,2010,48
1e9fQQKmHAG3FezQFyrCeT,Bill Burr,Oddly Racist,05/10/2010,2010,47
5LfDOTMc5zVt3RLvLkme3L,The Steeldrivers,Angel Of The Night,01/01/2010,2010,48
1vWGa8yC21ZELs9dAhiC2Q,Ellie Goulding,Starry Eyed,2010,2010,48
5suJZTE8SpSmR4zMqxLg3V,Boy Meets Girl,Waiting for a Star to Fall,26/02/2010,2010,58
7mBFueHAPlAKCWEpxw4Tx1,Randy Rogers Band,Steal You Away,01/01/2010,2010,46
45ou2UBThJA4WtFGIiYLI3,Sara Bareilles,Gonna Get Over You,07/09/2010,2010,50
28lU91CRfUdWJEY7KbhZBL,Dave Barnes,God Gave Me You,06/04/2010,2010,50
3mTyzSoSqh6KJj9p88WHaY,Big Time Rush,Big Night,11/10/2010,2010,46
0OQyjeW3jHynzehiKw1wPo,Cher,Welcome To Burlesque - Burlesque Original Motion Picture Soundtrack,22/11/2010,2010,46
5wZv3YevrrMZBlNrUTI4Yd,Tim McGraw,Last Dollar (Fly Away),30/11/2010,2010,47
11ozIUBoXAgRTVWelDn4pL,Ellie Goulding,Lights,01/01/2010,2010,47
2vtB7ASUDlJkTB7sn1yugu,Voz De Mando,Comandos Del M.P (500 Balazos),01/01/2010,2010,51
56LMxFFL4FacadvviKDAh9,Jesse McCartney,Shake,12/09/2010,2010,48
0NrwQdPgOlLkVEC3VMlU42,"David Guetta', 'Kid Cudi",Memories (feat. Kid Cudi),24/11/2010,2010,51
0PG9RK1V62OsPRTmwKq566,Kiko Rodriguez,Hoy Te Vi Pasar,29/06/2010,2010,51
2YEQNToSXA0iOxzpHPlkw9,The Afters,Light Up the Sky,14/09/2010,2010,47
4Po4C0odXzBWN3z5F9qiBa,Lilly Goodman,Iglesia,21/10/2010,2010,57
2auNjgM4xIOANxtZT4Xe9z,Canserbero,Pensando en Ti,2010,2010,66
46WOptLnXUtH3LOyYvmMO1,"Gorillaz', 'Snoop Dogg",Welcome to the World of the Plastic Beach (feat. Snoop Dogg and Hypnotic Brass Ensemble),03/03/2010,2010,53
3ePsmfhb7hduvnDadoNNyi,Stacey Kent,Les eaux de mars,15/03/2010,2010,60
74AGKeviSXmSHtRhgJLblx,Shinyribs,Who Built the Moon,15/06/2010,2010,47
0cSkIGgh1uICEIcmEb1niw,"Protoje', 'Ky-Mani Marley",Rasta Love Feat. Ky-Mani Marley,25/01/2010,2010,60
2uEqb2TEV29ktnJl8DyObt,Fidel Rueda,Me Encantaría,01/01/2010,2010,54
